product_url,product_title,product_description,price,sku,product_image,product_category,delivery_cost
http://localhost:8888/magento2/test/joust-duffle-bag.html,"Joust Duffle Bigger Bag","The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.

Dual top handles.
Adjustable shoulder strap.
Full-length zipper.
L 29"" x W 13"" x H 11"".
","34 EUR",24-MB01,http://localhost:8888/magento2/test/pub/media/catalog/product/m/b/mb01-blue-0.jpg,"Gear, Bags",4.90
http://localhost:8888/magento2/test/strive-shoulder-pack.html,"Strive Shoulder Pack","Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.

Zippered main compartment.
Front zippered pocket.
Side mesh pocket.
Cell phone pocket on strap.
Adjustable shoulder strap and top carry handle.
","32 EUR",24-MB04,http://localhost:8888/magento2/test/pub/media/catalog/product/m/b/mb04-black-0.jpg,"Gear, Collections, Bags",4.90
http://localhost:8888/magento2/test/crown-summit-backpack.html,"Crown Summit Backpack","The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.

Top handle.
Grommet holes.
Two-way zippers.
H 20"" x W 14"" x D 12"".
Weight: 2 lbs, 8 oz. Volume: 29 L.
","38 EUR",24-MB03,http://localhost:8888/magento2/test/pub/media/catalog/product/m/b/mb03-black-0.jpg,"Gear, Bags",4.90
http://localhost:8888/magento2/test/wayfarer-messenger-bag.html,"Wayfarer Messenger Bag","Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.

Multiple internal zip pockets.
Made of durable nylon.
","45 EUR",24-MB05,http://localhost:8888/magento2/test/pub/media/catalog/product/m/b/mb05-black-0.jpg,"Gear, Collections, Bags, New Luma Yoga Collection",4.90
http://localhost:8888/magento2/test/rival-field-messenger.html,"Rival Field Messenger","The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.

Leather construction.
Adjustable fabric carry strap.
Dimensions: 18"" x 10"" x 4"".
","45 EUR",24-MB06,http://localhost:8888/magento2/test/pub/media/catalog/product/m/b/mb06-gray-0.jpg,"Gear, Collections, Bags, New Luma Yoga Collection",4.90
http://localhost:8888/magento2/test/fusion-backpack.html,"Fusion Backpack","With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.

Durable nylon construction.
2 main zippered compartments.
1 exterior zippered pocket.
Mesh side pouches.
Padded, adjustable straps.
Top carry handle.
Dimensions: 18"" x 10"" x 6"".
","59 EUR",24-MB02,http://localhost:8888/magento2/test/pub/media/catalog/product/m/b/mb02-gray-0.jpg,"Gear, Bags",4.90
http://localhost:8888/magento2/test/impulse-duffle.html,"Impulse Duffle","Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.

Wheeled.
Dual carry handles.
Retractable top handle.
W 14"" x H 26"" x D 11"".
","74 EUR",24-UB02,http://localhost:8888/magento2/test/pub/media/catalog/product/u/b/ub02-black-0.jpg,"Gear, Bags",4.90
http://localhost:8888/magento2/test/voyage-yoga-bag.html,"Voyage Yoga Bag","Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.

Slip pocket on front.
Contrast piping.
Durable nylon construction.
","32 EUR",24-WB01,http://localhost:8888/magento2/test/pub/media/catalog/product/w/b/wb01-black-0.jpg,"Gear, Bags",4.90
http://localhost:8888/magento2/test/compete-track-tote.html,"Compete Track Tote","The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.

Two-way zippers.
Contrast detailing.
W 22.0"" x H 17"" x D 10"".
","32 EUR",24-WB02,http://localhost:8888/magento2/test/pub/media/catalog/product/w/b/wb02-green-0.jpg,"Gear, Bags",4.90
http://localhost:8888/magento2/test/savvy-shoulder-tote.html,"Savvy Shoulder Tote","Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.

Water-resistant shell.
Water bottle pocket.
Padded, articulating shoulder strap.
Dimensions: W 21"" x H 15"" x D 10"".
","32 EUR",24-WB05,http://localhost:8888/magento2/test/pub/media/catalog/product/w/b/wb05-red-0.jpg,"Gear, Collections, Bags",4.90
http://localhost:8888/magento2/test/endeavor-daytrip-backpack.html,"Endeavor Daytrip Backpack","With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day's worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.

Foam-padded adjustable shoulder straps.
900D polyester.
Oversized zippers.
Locker loop.
","33 EUR",24-WB06,http://localhost:8888/magento2/test/pub/media/catalog/product/w/b/wb06-red-0.jpg,"Gear, Collections, Bags",4.90
http://localhost:8888/magento2/test/driven-backpack.html,"Driven Backpack","School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it's outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.

Large main and small zip compartments.
Adjustable, padded straps.
Interior foam pockets.
Exterior zip compartment.
Left sport bottle pocket.
Survival gear sold separately.
","36 EUR",24-WB03,http://localhost:8888/magento2/test/pub/media/catalog/product/w/b/wb03-purple-0.jpg,"Gear, Bags",4.90
http://localhost:8888/magento2/test/overnight-duffle.html,"Overnight Duffle","For long weekends away, camping outings and business trips, the Overnight Duffle can't be beat. The dual handles make it a cinch to carry, while the durable waterproof exterior helps you worry less about the weather. With multiple organizational pockets inside and out, it's the perfect travel companion.

Dual top handles.
W 15"" x H 15"" x D 9"".
","45 EUR",24-WB07,http://localhost:8888/magento2/test/pub/media/catalog/product/w/b/wb07-brown-0.jpg,"Gear, Collections, Bags, New Luma Yoga Collection",4.90
http://localhost:8888/magento2/test/push-it-messenger-bag.html,"Push It Messenger Bag","The name says so, but the Push It Messenger Bag is much more than a busy commuter's tote. It's a closet away from home when you're pedaling from class or work to gym and back or home again. It's the perfect size and shape for laptop, folded clothes, even extra shoes.

Adjustable crossbody strap.
Top handle.
Zippered interior pocket.
Secure clip closures.
Durable fabric construction.
","45 EUR",24-WB04,http://localhost:8888/magento2/test/pub/media/catalog/product/w/b/wb04-blue-0.jpg,"Gear, Collections, Bags",4.90
http://localhost:8888/magento2/test/affirm-water-bottle.html,"Affirm Water Bottle ","You'll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you're drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.

Made of plastic.
Grooved sides for an easy grip.
","7 EUR",24-UG06,http://localhost:8888/magento2/test/pub/media/catalog/product/u/g/ug06-lb-0.jpg,"Gear, Fitness Equipment",4.90
http://localhost:8888/magento2/test/dual-handle-cardio-ball.html,"Dual Handle Cardio Ball","Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.

Durable plastic shell with sand fill.
Two handles.
15 lbs.
","12 EUR",24-UG07,http://localhost:8888/magento2/test/pub/media/catalog/product/u/g/ug07-bk-0.jpg,"Gear, Collections, Fitness Equipment",4.90
http://localhost:8888/magento2/test/zing-jump-rope.html,"Zing Jump Rope","One of the world's simplest and most portable exercise devices, a jump rope enables endless variations and fitness output. The Zing Jump Rope goes anywhere and can be used any time. It is adjustable in length and has contoured foam handles for a great grip.

 Contoured foam handles.
 Adjustable length.
","12 EUR",24-UG04,http://localhost:8888/magento2/test/pub/media/catalog/product/u/g/ug04-bk-0.jpg,"Gear, Fitness Equipment",4.90
http://localhost:8888/magento2/test/pursuit-lumaflex-trade-tone-band.html,"Pursuit Lumaflex&trade; Tone Band","Save your knees and joints while strengthening arms, legs and core with the Pursuit Lumaflex&trade; Tone Band. This ultra-durable training tool lets you complete a full-body workout free of bulky machines or free weights.

Home and/or gym use.
Ergonomic handles.
","16 EUR",24-UG02,http://localhost:8888/magento2/test/pub/media/catalog/product/u/g/ug02-bk-0.jpg,"Gear, Fitness Equipment",4.90
http://localhost:8888/magento2/test/go-get-r-pushup-grips.html,"Go-Get'r Pushup Grips","The Go-Get'r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.

Durable foam grips.
Supportive base.
","19 EUR",24-UG05,http://localhost:8888/magento2/test/pub/media/catalog/product/u/g/ug05-gr-0.jpg,"Gear, Collections, Fitness Equipment, New Luma Yoga Collection",4.90
http://localhost:8888/magento2/test/quest-lumaflex-trade-band.html,"Quest Lumaflex&trade; Band","From leg extensions and standing squats to a full range of floor routines, the Quest Strength Band brings your own personal gym with you everywhere you go. Designed to add extra resistance to any training session, this strength band helps you tone and define your muscles. You'll love the extra comfort of its grippy handles and adjustable design.

Adjusts from 30"" to 55"".
Grippy comfort handles.
Stretchy rubber construction.
","19 EUR",24-UG01,http://localhost:8888/magento2/test/pub/media/catalog/product/u/g/ug01-bk-0.jpg,"Gear, Fitness Equipment",4.90
http://localhost:8888/magento2/test/sprite-foam-yoga-brick.html,"Sprite Foam Yoga Brick","Our top-selling yoga prop, the 4-inch, high-quality Sprite Foam Yoga Brick is popular among yoga novices and studio professionals alike. An essential yoga accessory, the yoga brick is a critical tool for finding balance and alignment in many common yoga poses. Choose from 5 color options.

Standard Large Size: 4"" x 6"" x 9"".
Beveled edges for ideal contour grip.
Durable and soft, scratch-proof foam.
Individually wrapped.
Ten color choices.
 ","5 EUR",24-WG084,http://localhost:8888/magento2/test/pub/media/catalog/product/l/u/luma-yoga-brick.jpg,"Gear, Fitness Equipment",4.90
http://localhost:8888/magento2/test/sprite-foam-roller.html,"Sprite Foam Roller","It hurts so good to use the Sprite Foam Roller on achy, tired muscles for myofascial massage therapy. Or you can add this fundamental piece to your Pilates and yoga accouterment, or apply towards core stability, strengthening and balance exercise. 

6'' wide by 12'' long.
Safe for myofascial release.
EPP or PE foam options.
Solid, dense, closed-cell foam.
","19 EUR",24-WG088,http://localhost:8888/magento2/test/pub/media/catalog/product/l/u/luma-foam-roller.jpg,"Gear, Fitness Equipment",4.90
http://localhost:8888/magento2/test/harmony-lumaflex-trade-strength-band-kit.html,"Harmony Lumaflex&trade; Strength Band Kit ","Forget fancy machines and costly memberships - the Harmony Lumaflex&trade; Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.

Three flex bands.
Textured, ergonomic grips.
Adjustable lengths.
Mesh carry bag included.
","22 EUR",24-UG03,http://localhost:8888/magento2/test/pub/media/catalog/product/u/g/ug03-bk-0.jpg,"Gear, Fitness Equipment",4.90
http://localhost:8888/magento2/test/sprite-stasis-ball-55-cm.html,"Sprite Stasis Ball 55 cm","The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

Durable, burst-resistant design.
Hand pump included.
","23 EUR",24-WG081-gray,http://localhost:8888/magento2/test/pub/media/catalog/product/l/u/luma-stability-ball-gray.jpg,"Gear, Fitness Equipment",4.90
http://localhost:8888/magento2/test/aim-analog-watch.html,"Aim Analog Watch","Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.

Japanese quartz movement.
Strap fits 7"" to 8.0"".
","45 EUR",24-MG04,http://localhost:8888/magento2/test/pub/media/catalog/product/m/g/mg04-bk-0.jpg,"Gear, Watches",4.90
http://localhost:8888/magento2/test/endurance-watch.html,"Endurance Watch","It's easy to track and monitor your training progress with the Endurance Watch. You'll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.

Digital display.
LED backlight.
Strap fits 7"" to 10"".
1-year limited warranty.
Comes with polished metal case.
","49 EUR",24-MG01,http://localhost:8888/magento2/test/pub/media/catalog/product/m/g/mg01-bk-0.jpg,"Gear, Watches",4.90
